InfantID,SegmentID,FileName,code1,code2,seqcode,Event1T,Event1N,Event1C,Event1X,Event1R,Event2T,Event2N,Event2C,Event2X,Event2R
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,N,PN,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,N,N,NN,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,N,N,NN,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,N,P,NP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,X,PX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,X,XX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,X,XX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,P,XP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,C,PC,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,C,X,CX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,X,XX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,X,XX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,X,XX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,X,XX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,X,XX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,C,XC,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,C,C,CC,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,C,C,CC,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,C,C,CC,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,C,C,CC,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,C,X,CX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,X,XX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,X,XX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,C,XC,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,C,P,CP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,X,PX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,X,XX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,P,XP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,P,PP,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,P,X,PX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,X,XX,,,,,,,,,,
WW04,2,WW04_segment2_full.txt,X,X,XX,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,X,TX,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,X,T,XT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,N,TN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,T,NT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,X,TX,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,X,N,XN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,T,NT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,N,TN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,T,NT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,N,TN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,T,NT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,P,TP,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,P,N,PN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,X,NX,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,X,N,XN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,T,NT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,U,TU,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,U,N,UN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,T,NT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,C,TC,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,C,T,CT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,U,TU,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,U,T,UT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,X,TX,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,X,T,XT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,N,TN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,T,NT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,X,TX,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,X,T,XT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,N,TN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,X,NX,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,X,T,XT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,X,TX,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,X,X,XX,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,X,N,XN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,P,NP,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,P,P,PP,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,P,X,PX,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,X,P,XP,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,P,P,PP,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,P,P,PP,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,P,T,PT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,C,TC,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,C,N,CN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,P,NP,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,P,C,PC,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,C,R,CR,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,R,T,RT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,X,TX,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,X,P,XP,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,P,N,PN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,R,NR,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,R,N,RN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,N,NN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,T,NT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,X,TX,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,X,N,XN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,T,NT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,T,TT,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,T,C,TC,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,C,N,CN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,N,NN,,,,,,,,,,
WW04,3,WW04_segment3_full.txt,N,T,NT,,,,,,,,,,
